state,month,marital_status,births
Minnesota,8,Married,3755
Minnesota,8,Unmarried,1744
Minnesota,9,Married,3457
Minnesota,9,Unmarried,1669
Minnesota,10,Married,3678
Minnesota,10,Unmarried,1663
Minnesota,11,Married,3316
Minnesota,11,Unmarried,1590
Minnesota,12,Married,3420
Minnesota,12,Unmarried,1797
Mississippi,1,Married,1271
Mississippi,1,Unmarried,1553
Mississippi,2,Married,1226
Mississippi,2,Unmarried,1477
Mississippi,3,Married,1263
Mississippi,3,Unmarried,1492
Mississippi,4,Married,1225
Mississippi,4,Unmarried,1237
Mississippi,5,Married,1264
Mississippi,5,Unmarried,1388
Mississippi,6,Married,1249
Mississippi,6,Unmarried,1453
Mississippi,7,Married,1368
Mississippi,7,Unmarried,1645
Mississippi,8,Married,1351
Mississippi,8,Unmarried,1575
Mississippi,9,Married,1268
Mississippi,9,Unmarried,1545
Mississippi,10,Married,1353
Mississippi,10,Unmarried,1585
Mississippi,11,Married,1199
Mississippi,11,Unmarried,1499
Mississippi,12,Married,1331
Mississippi,12,Unmarried,1548
Missouri,1,Married,3365
Missouri,1,Unmarried,2338
Missouri,2,Married,3217
Missouri,2,Unmarried,2167
Missouri,3,Married,3439
Missouri,3,Unmarried,2056
Missouri,4,Married,3430
Missouri,4,Unmarried,2017
Missouri,5,Married,3540
Missouri,5,Unmarried,2130
Missouri,6,Married,3353
Missouri,6,Unmarried,2108
Missouri,7,Married,3693
Missouri,7,Unmarried,2215
Missouri,8,Married,3768
Missouri,8,Unmarried,2312
Missouri,9,Married,3536
Missouri,9,Unmarried,2268
Missouri,10,Married,3583
Missouri,10,Unmarried,2310
Missouri,11,Married,3222
Missouri,11,Unmarried,2090
Missouri,12,Married,3156
Missouri,12,Unmarried,2264
Montana,1,Married,628
Montana,1,Unmarried,252
Montana,2,Married,634
Montana,2,Unmarried,276
Montana,3,Married,673
Montana,3,Unmarried,281
Montana,4,Married,661
Montana,4,Unmarried,276
Montana,5,Married,728
Montana,5,Unmarried,325
Montana,6,Married,623
Montana,6,Unmarried,294
Montana,7,Married,657
Montana,7,Unmarried,292
Montana,8,Married,685
Montana,8,Unmarried,306
Montana,9,Married,685
Montana,9,Unmarried,308
Montana,10,Married,626
Montana,10,Unmarried,261
Montana,11,Married,608
Montana,11,Unmarried,245
Montana,12,Married,656
Montana,12,Unmarried,297
Nebraska,1,Married,1300
Nebraska,1,Unmarried,730
Nebraska,2,Married,1320
Nebraska,2,Unmarried,689
Nebraska,3,Married,1340
Nebraska,3,Unmarried,659
Nebraska,4,Married,1354
Nebraska,4,Unmarried,693
Nebraska,5,Married,1438
Nebraska,5,Unmarried,778
Nebraska,6,Married,1318
Nebraska,6,Unmarried,706
Nebraska,7,Married,1377
Nebraska,7,Unmarried,749
Nebraska,8,Married,1385
Nebraska,8,Unmarried,743
Nebraska,9,Married,1297
Nebraska,9,Unmarried,767
Nebraska,10,Married,1394
Nebraska,10,Unmarried,745
Nebraska,11,Married,1267
Nebraska,11,Unmarried,634
Nebraska,12,Married,1297
Nebraska,12,Unmarried,664
Nevada,1,Married,1308
Nevada,1,Unmarried,1259
Nevada,1,Not Reported,11
Nevada,2,Married,1316
Nevada,2,Unmarried,1234
Nevada,2,Not Reported,16
Nevada,3,Married,1308
Nevada,3,Unmarried,1306
Nevada,3,Not Reported,22
Nevada,4,Married,1298
Nevada,4,Unmarried,1195
Nevada,4,Not Reported,25
Nevada,5,Married,1307
Nevada,5,Unmarried,1260
Nevada,5,Not Reported,18
Nevada,6,Married,1328
Nevada,6,Unmarried,1282
Nevada,6,Not Reported,25
Nevada,7,Married,1441
Nevada,7,Unmarried,1285
Nevada,7,Not Reported,19
Nevada,8,Married,1436
Nevada,8,Unmarried,1381
Nevada,8,Not Reported,18
Nevada,9,Married,1459
Nevada,9,Unmarried,1336
Nevada,9,Not Reported,20
Nevada,10,Married,1452
Nevada,10,Unmarried,1372
Nevada,10,Not Reported,20
Nevada,11,Married,1380
Nevada,11,Unmarried,1270
Nevada,11,Not Reported,19
Nevada,12,Married,1389
Nevada,12,Unmarried,1399
Nevada,12,Not Reported,18
New Hampshire,1,Married,633
New Hampshire,1,Unmarried,304
New Hampshire,2,Married,706
New Hampshire,2,Unmarried,262
New Hampshire,3,Married,660
New Hampshire,3,Unmarried,275
New Hampshire,4,Married,682
New Hampshire,4,Unmarried,262
New Hampshire,5,Married,719
New Hampshire,5,Unmarried,246
New Hampshire,6,Married,697
New Hampshire,6,Unmarried,284
New Hampshire,7,Married,776
New Hampshire,7,Unmarried,279
New Hampshire,8,Married,755
New Hampshire,8,Unmarried,268
New Hampshire,9,Married,712
New Hampshire,9,Unmarried,289
New Hampshire,10,Married,688
New Hampshire,10,Unmarried,285
New Hampshire,11,Married,699
New Hampshire,11,Unmarried,284
New Hampshire,12,Married,665
New Hampshire,12,Unmarried,297
New Jersey,1,Married,5453
New Jersey,1,Unmarried,2823
New Jersey,2,Married,5129
New Jersey,2,Unmarried,2721
New Jersey,3,Married,5601
New Jersey,3,Unmarried,2790
New Jersey,4,Married,5484
New Jersey,4,Unmarried,2635
New Jersey,5,Married,5806
New Jersey,5,Unmarried,2724
New Jersey,6,Married,5479
New Jersey,6,Unmarried,2585
New Jersey,7,Married,6057
New Jersey,7,Unmarried,2860
New Jersey,8,Married,6126
New Jersey,8,Unmarried,3010
New Jersey,9,Married,5718
New Jersey,9,Unmarried,2756
New Jersey,10,Married,5873
New Jersey,10,Unmarried,2778
New Jersey,11,Married,5388
New Jersey,11,Unmarried,2692
New Jersey,12,Married,5538
New Jersey,12,Unmarried,2807
New Mexico,1,Married,823
New Mexico,1,Unmarried,941
New Mexico,2,Married,758
New Mexico,2,Unmarried,897
New Mexico,3,Married,826
New Mexico,3,Unmarried,932
New Mexico,4,Married,806
New Mexico,4,Unmarried,908
New Mexico,5,Married,783
New Mexico,5,Unmarried,866
New Mexico,6,Married,801
New Mexico,6,Unmarried,909
New Mexico,7,Married,846
New Mexico,7,Unmarried,982
New Mexico,8,Married,905
New Mexico,8,Unmarried,1005
New Mexico,9,Married,913
New Mexico,9,Unmarried,975
New Mexico,10,Married,863
New Mexico,10,Unmarried,899
New Mexico,11,Married,750
New Mexico,11,Unmarried,737
New Mexico,12,Married,739
New Mexico,12,Unmarried,384
New York,1,Married,10431
New York,1,Unmarried,6355
New York,2,Married,9933
New York,2,Unmarried,6156
New York,3,Married,10664
New York,3,Unmarried,6271
New York,4,Married,10566
New York,4,Unmarried,5928
New York,5,Married,11226
New York,5,Unmarried,6456
New York,6,Married,10548
New York,6,Unmarried,6048
New York,7,Married,11320
New York,7,Unmarried,6587
New York,8,Married,11440
New York,8,Unmarried,6633
New York,9,Married,10663
New York,9,Unmarried,6303
New York,10,Married,10882
New York,10,Unmarried,6266
New York,11,Married,10320
New York,11,Unmarried,6136
New York,12,Married,10071
New York,12,Unmarried,6198
North Carolina,1,Married,6006
North Carolina,1,Unmarried,4153
North Carolina,2,Married,5634
North Carolina,2,Unmarried,3877
North Carolina,3,Married,5882
North Carolina,3,Unmarried,4093
North Carolina,4,Married,5889
North Carolina,4,Unmarried,3875
North Carolina,5,Married,6035
North Carolina,5,Unmarried,4204
North Carolina,6,Married,5797
North Carolina,6,Unmarried,3974
North Carolina,7,Married,6331
North Carolina,7,Unmarried,4429
North Carolina,8,Married,6565
North Carolina,8,Unmarried,4450
North Carolina,9,Married,6111
North Carolina,9,Unmarried,4366
North Carolina,10,Married,6225
North Carolina,10,Unmarried,4181
North Carolina,11,Married,5830
North Carolina,11,Unmarried,4057
North Carolina,12,Married,6061
North Carolina,12,Unmarried,4277
North Dakota,1,Married,531
North Dakota,1,Unmarried,254
North Dakota,2,Married,491
North Dakota,2,Unmarried,256
North Dakota,3,Married,540
North Dakota,3,Unmarried,270
North Dakota,4,Married,577
North Dakota,4,Unmarried,231
North Dakota,5,Married,577
North Dakota,5,Unmarried,254
North Dakota,6,Married,539
North Dakota,6,Unmarried,269
North Dakota,7,Married,600
North Dakota,7,Unmarried,280
North Dakota,8,Married,567
North Dakota,8,Unmarried,291
North Dakota,9,Married,512
North Dakota,9,Unmarried,243
North Dakota,10,Married,553
North Dakota,10,Unmarried,267
North Dakota,11,Married,513
North Dakota,11,Unmarried,228
North Dakota,12,Married,490
North Dakota,12,Unmarried,278
Ohio,1,Married,5703
Ohio,1,Unmarried,4509
Ohio,2,Married,5762
Ohio,2,Unmarried,4230
Ohio,3,Married,6129
Ohio,3,Unmarried,4327
Ohio,4,Married,6084
Ohio,4,Unmarried,4198
Ohio,5,Married,6351
Ohio,5,Unmarried,4453
Ohio,6,Married,6279
Ohio,6,Unmarried,4326
Ohio,7,Married,6555
Ohio,7,Unmarried,4614
Ohio,8,Married,6591
Ohio,8,Unmarried,4681
Ohio,9,Married,6171
Ohio,9,Unmarried,4424
Ohio,10,Married,6345
Ohio,10,Unmarried,4472
Ohio,11,Married,5700
Ohio,11,Unmarried,4097
Ohio,12,Married,5924
Ohio,12,Unmarried,4415
Oklahoma,1,Married,2142
Oklahoma,1,Unmarried,1760
Oklahoma,2,Married,2016
Oklahoma,2,Unmarried,1675
Oklahoma,3,Married,2227
Oklahoma,3,Unmarried,1661
Oklahoma,4,Married,2142
Oklahoma,4,Unmarried,1698
Oklahoma,5,Married,2255
Oklahoma,5,Unmarried,1733
Oklahoma,6,Married,2151
Oklahoma,6,Unmarried,1624
Oklahoma,7,Married,2345
Oklahoma,7,Unmarried,1954
Oklahoma,8,Married,2396
Oklahoma,8,Unmarried,1900
Oklahoma,9,Married,2221
Oklahoma,9,Unmarried,1857
Oklahoma,10,Married,2301
Oklahoma,10,Unmarried,1838
Oklahoma,11,Married,2086
Oklahoma,11,Unmarried,1708
Oklahoma,12,Married,2251
Oklahoma,12,Unmarried,1897
Oregon,1,Married,1894
Oregon,1,Unmarried,1215
Oregon,2,Married,1783
Oregon,2,Unmarried,1110
Oregon,3,Married,2078
Oregon,3,Unmarried,1178
Oregon,4,Married,1981
Oregon,4,Unmarried,1193
Oregon,5,Married,2107
Oregon,5,Unmarried,1223
Oregon,6,Married,2063
Oregon,6,Unmarried,1179
Oregon,7,Married,2241
Oregon,7,Unmarried,1267
Oregon,8,Married,2135
Oregon,8,Unmarried,1281
Oregon,9,Married,2000
Oregon,9,Unmarried,1273
Oregon,10,Married,2099
Oregon,10,Unmarried,1247
Oregon,11,Married,1872
Oregon,11,Unmarried,1139
Oregon,12,Married,1909
Oregon,12,Unmarried,258
Pennsylvania,1,Married,6392
Pennsylvania,1,Unmarried,4231
Pennsylvania,2,Married,5960
Pennsylvania,2,Unmarried,3818
Pennsylvania,3,Married,6539
Pennsylvania,3,Unmarried,4198
Pennsylvania,4,Married,6459
Pennsylvania,4,Unmarried,3842
Pennsylvania,5,Married,6723
Pennsylvania,5,Unmarried,3955
Pennsylvania,6,Married,6505
Pennsylvania,6,Unmarried,3991
Pennsylvania,7,Married,6880
Pennsylvania,7,Unmarried,4268
Pennsylvania,8,Married,7020
Pennsylvania,8,Unmarried,4348
Pennsylvania,9,Married,6628
Pennsylvania,9,Unmarried,4040
Pennsylvania,10,Married,6600
Pennsylvania,10,Unmarried,4020
Pennsylvania,11,Married,6129
Pennsylvania,11,Unmarried,3875
Pennsylvania,12,Married,6228
Pennsylvania,12,Unmarried,3976
Rhode Island,1,Married,450
Rhode Island,1,Unmarried,360
Rhode Island,2,Married,431
Rhode Island,2,Unmarried,319
Rhode Island,3,Married,471
Rhode Island,3,Unmarried,403
Rhode Island,4,Married,476
